table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,290,"{""muq_MeV"":0.0,""xi"":0.4}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,291,"{""muq_MeV"":30.0,""xi"":0.4}",False,False,4.940325038691999,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,292,"{""muq_MeV"":60.0,""xi"":0.4}",False,False,9.880650077383997,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,293,"{""muq_MeV"":90.0,""xi"":0.4}",False,False,10.238699845232006,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,294,"{""muq_MeV"":120.0,""xi"":0.4}",False,False,5.2983748065399965,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,295,"{""muq_MeV"":150.0,""xi"":0.4}",False,False,0.35804976784800147,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,296,"{""muq_MeV"":180.0,""xi"":0.4}",False,False,4.582275270844008,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,297,"{""muq_MeV"":210.0,""xi"":0.4}",False,False,9.522600309537012,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,298,"{""muq_MeV"":240.0,""xi"":0.4}",False,False,10.596749613078998,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,299,"{""muq_MeV"":270.0,""xi"":0.4}",False,False,5.656424574387017,accepted_key_grid_differs_from_legacy,nearest_accepted_support
