xi,last_crossover_mu_MeV,cep_mu_MeV,last_crossover_T_MeV,cep_T_midpoint_MeV,delta_mu_MeV,delta_T_MeV,closure_status
0.44375,338.75458976744653,342.6857875306132,114.3445709996185,110.59375,3.931197763166665,-3.7508209996184974,added_boundary_constrained_display_endpoint
0.45,339.2701998281364,343.31774113756234,114.11127931866659,110.21875,4.047541309425924,-3.8925293186665897,added_boundary_constrained_display_endpoint
0.45625,339.2701998281364,343.9412544410507,114.33928884432527,109.84375,4.671054612914304,-4.495538844325267,added_boundary_constrained_display_endpoint
0.4625,340.2882579651578,344.56476774453915,113.65527954602318,109.46875,4.2765097793813425,-4.186529546023181,added_boundary_constrained_display_endpoint
0.46875,340.2882579651578,345.20657332436815,113.88461251259906,109.0625,4.9183153592103395,-4.8221125125990625,added_boundary_constrained_display_endpoint
0.475,341.3330990822394,345.84837890419715,113.1688655473073,108.65625,4.5152798219577335,-4.5126155473073055,added_boundary_constrained_display_endpoint
0.48125,341.3330990822394,346.47802573006715,113.3923387535278,108.25,5.144926647827731,-5.142338753527795,added_boundary_constrained_display_endpoint
0.4875,342.35905113291346,347.10767255593714,112.67641632431797,107.84375,4.748621423023678,-4.8326663243179695,added_boundary_constrained_display_endpoint
0.49375,342.35905113291346,347.7534052491582,112.90287494158855,107.421875,5.394354116244756,-5.48099994158855,added_boundary_constrained_display_endpoint
0.5,343.40849545149354,348.39913794237924,112.15803554839862,107.0,4.990642490885705,-5.158035548398615,added_boundary_constrained_display_endpoint
